Zipcode,Rural Percent,Urban Percent
00601,42.49,57.51
00602,0,100
00603,0.08,99.92
00606,59.23,40.77
00610,11.63,88.37
00612,6.89,93.11
00616,5.26,94.74
00617,1.77,98.23
00622,21.42,78.58
00623,1.45,98.55
00624,15.41,84.59
00627,13.49,86.51
00631,100,0
00637,8.4,91.6
00638,37.5,62.5
00641,43.42,56.58
00646,0,100
00647,21.84,78.16
00650,29.62,70.38
00652,25.79,74.21
00653,6.71,93.29
00656,11.87,88.13
00659,10.84,89.16
00660,0.2,99.8
00662,5.17,94.83
00664,32.67,67.33
00667,17.85,82.15
00669,22.66,77.34
00670,67.23,32.77
00674,6.76,93.24
00676,12.49,87.51
00677,0,100
00678,9.23,90.77
00680,4.87,95.13
00682,2.86,97.14
00683,9.23,90.77
00685,13.31,86.69
00687,11.06,88.94
00688,18.25,81.75
00690,0,100
00692,1.87,98.13
00693,4.05,95.95
00694,0,100
00698,17.81,82.19
00703,10.14,89.86
00704,1.47,98.53
00705,12.36,87.64
00707,24.11,75.89
00714,4.22,95.78
00715,5.77,94.23
00716,0.02,99.98
00717,0,100
00718,8.11,91.89
00719,0,100
00720,35.08,64.92
00723,25.58,74.42
00725,1.26,98.74
00727,0.49,99.51
00728,0.07,99.93
00729,2.02,97.98
00730,0.39,99.61
00731,35.96,64.04
00735,12.2,87.8
00736,9.64,90.36
00738,2.25,97.75
00739,2.85,97.15
00740,0,100
00741,0,100
00745,2.5,97.5
00751,17.71,82.29
00754,11.28,88.72
00757,12.76,87.24
00765,11.32,88.68
00766,14.81,85.19
00767,15.33,84.67
00769,18.55,81.45
00771,2.45,97.55
00772,0.96,99.04
00773,8.86,91.14
00775,100,0
00777,3.18,96.82
00778,0.36,99.64
00780,9.02,90.98
00782,12.76,87.24
00783,6.49,93.51
00784,9.15,90.85
00786,0,100
00791,0.38,99.62
00794,3.64,96.36
00795,6.85,93.15
00801,0,100
00802,1.43,98.57
00820,9.7,90.3
00823,0.77,99.23
00824,0,100
00830,26.37,73.63
00831,0,100
00840,3.58,96.42
00841,18.63,81.37
00850,8.94,91.06
00851,7.55,92.45
00901,0,100
00906,0,100
00907,0,100
00909,0,100
00911,0,100
00912,0,100
00913,0,100
00915,0,100
00917,0,100
00918,0,100
00920,0,100
00921,0,100
00923,0,100
00924,0,100
00925,0,100
00926,0,100
00927,0,100
00934,0,100
00936,0,100
00949,0,100
00950,100,0
00951,0,100
00952,0,100
00953,0,100
00956,0.03,99.97
00957,0,100
00959,0,100
00960,0,100
00961,0,100
00962,0.02,99.98
00965,0,100
00966,0,100
00968,0,100
00969,0,100
00971,0.01,99.99
00976,0,100
00979,0,100
00982,0,100
00983,0,100
00985,0.2,99.8
00987,0.34,99.66
01001,0.51,99.49
01002,12.01,87.99
01003,0,100
01005,100,0
01007,59.62,40.38
01008,100,0
01009,14.98,85.02
01010,100,0
01011,100,0
01012,100,0
01013,0,100
01020,0,100
01022,0,100
01026,100,0
01027,12.7,87.3
01028,1.81,98.19
01029,100,0
01030,10.86,89.14
01031,68.81,31.19
01032,100,0
01033,45.72,54.28
01034,100,0
01035,40.48,59.52
01036,47.47,52.53
01037,100,0
01038,100,0
01039,70.43,29.57
01040,1.09,98.91
01050,97.31,2.69
01053,25.58,74.42
01054,100,0
01056,11.73,88.27
01057,72.85,27.15
01060,6.71,93.29
01062,10.54,89.46
01063,0,100
01066,100,0
01068,100,0
01069,24.1,75.9
01070,100,0
01071,71.49,28.51
01072,100,0
01073,80.89,19.11
01074,100,0
01075,3.3,96.7
01077,47.14,52.86
01079,38.44,61.56
01080,0,100
01081,100,0
01082,36.45,63.55
01083,47.99,52.01
01084,100,0
01085,8.43,91.57
01086,0,100
01088,100,0
01089,1.81,98.19
01092,54.23,45.77
01093,100,0
01094,100,0
01095,13.49,86.51
01096,100,0
01097,41.44,58.56
01098,100,0
01103,0,100
01104,0,100
01105,0,100
01106,0,100
01107,0,100
01108,0,100
01109,0,100
01118,0,100
01119,0,100
01128,0,100
01129,0,100
01151,0,100
01199,0,100
01201,7.3,92.7
01220,12.07,87.93
01222,100,0
01223,100,0
01224,0,100
01225,45.81,54.19
01226,29.56,70.44
01229,100,0
01230,57.21,42.79
01235,78.74,21.26
01236,36.12,63.88
01237,80.85,19.15
01238,25.58,74.42
01240,31.98,68.02
01242,0,100
01243,100,0
01244,100,0
01245,100,0
01247,23.62,76.38
01253,100,0
01254,100,0
01255,100,0
01256,100,0
01257,100,0
01258,100,0
01259,100,0
01260,74.17,25.83
01262,56.79,43.21
01264,100,0
01266,100,0
01267,28.11,71.89
01270,100,0
01301,12.18,87.82
01330,100,0
01331,39.79,60.21
01337,100,0
01338,100,0
01339,100,0
01340,100,0
01341,100,0
01342,62.73,37.27
01343,100,0
01344,67.36,32.64
01346,100,0
01347,100,0
01349,29.79,70.21
01350,100,0
01351,93.48,6.52
